Comunidades y Ciudades Autónomas	Sexo	Periodo	Total
17 Rioja, La	Hombres	2018	155.758
17 Rioja, La	Hombres	2017	155.508
17 Rioja, La	Hombres	2016	155.969
17 Rioja, La	Hombres	2015	156.733
17 Rioja, La	Hombres	2014	158.090
17 Rioja, La	Hombres	2013	160.159
17 Rioja, La	Hombres	2012	161.574
17 Rioja, La	Hombres	2011	161.582
17 Rioja, La	Hombres	2010	161.884
17 Rioja, La	Hombres	2009	162.173
17 Rioja, La	Hombres	2008	160.342
17 Rioja, La	Hombres	2007	155.773
17 Rioja, La	Hombres	2006	154.556
17 Rioja, La	Hombres	2005	151.730
17 Rioja, La	Hombres	2004	147.214
17 Rioja, La	Hombres	2003	143.995
17 Rioja, La	Hombres	2002	140.780
17 Rioja, La	Hombres	2001	134.506
17 Rioja, La	Hombres	2000	130.956
17 Rioja, La	Hombres	1999	131.518
17 Rioja, La	Hombres	1998	130.708
17 Rioja, La	Hombres	1997	""
17 Rioja, La	Hombres	1996	131.183
17 Rioja, La	Mujeres	2019	160.619
17 Rioja, La	Mujeres	2018	159.917
17 Rioja, La	Mujeres	2017	159.873
17 Rioja, La	Mujeres	2016	159.825
17 Rioja, La	Mujeres	2015	160.320
17 Rioja, La	Mujeres	2014	160.912
17 Rioja, La	Mujeres	2013	161.868
17 Rioja, La	Mujeres	2012	162.035
17 Rioja, La	Mujeres	2011	161.373
17 Rioja, La	Mujeres	2010	160.531
17 Rioja, La	Mujeres	2009	159.529
17 Rioja, La	Mujeres	2008	157.159
17 Rioja, La	Mujeres	2007	153.195
17 Rioja, La	Mujeres	2006	151.821
17 Rioja, La	Mujeres	2005	149.354
17 Rioja, La	Mujeres	2004	146.339
17 Rioja, La	Mujeres	2003	143.395
17 Rioja, La	Mujeres	2002	140.834
17 Rioja, La	Mujeres	2001	135.894
17 Rioja, La	Mujeres	2000	133.222
17 Rioja, La	Mujeres	1999	133.660
17 Rioja, La	Mujeres	1998	132.936
17 Rioja, La	Mujeres	1997	""
17 Rioja, La	Mujeres	1996	133.758
18 Ceuta	Total	2019	84.777
18 Ceuta	Total	2018	85.144
18 Ceuta	Total	2017	84.959
18 Ceuta	Total	2016	84.519
18 Ceuta	Total	2015	84.263
18 Ceuta	Total	2014	84.963
18 Ceuta	Total	2013	84.180
18 Ceuta	Total	2012	84.018
18 Ceuta	Total	2011	82.376
18 Ceuta	Total	2010	80.579
18 Ceuta	Total	2009	78.674
18 Ceuta	Total	2008	77.389
18 Ceuta	Total	2007	76.603
18 Ceuta	Total	2006	75.861
18 Ceuta	Total	2005	75.276
18 Ceuta	Total	2004	74.654
18 Ceuta	Total	2003	74.931
18 Ceuta	Total	2002	76.152
18 Ceuta	Total	2001	75.694
18 Ceuta	Total	2000	75.241
18 Ceuta	Total	1999	73.704
18 Ceuta	Total	1998	72.117
18 Ceuta	Total	1997	""
18 Ceuta	Total	1996	68.796
18 Ceuta	Hombres	2019	42.912
18 Ceuta	Hombres	2018	43.177
18 Ceuta	Hombres	2017	43.034
18 Ceuta	Hombres	2016	42.846
18 Ceuta	Hombres	2015	42.757
18 Ceuta	Hombres	2014	43.354
18 Ceuta	Hombres	2013	43.060
18 Ceuta	Hombres	2012	42.948
18 Ceuta	Hombres	2011	42.165
18 Ceuta	Hombres	2010	41.269
18 Ceuta	Hombres	2009	40.118
18 Ceuta	Hombres	2008	39.385
18 Ceuta	Hombres	2007	38.913
18 Ceuta	Hombres	2006	38.581
18 Ceuta	Hombres	2005	38.315
18 Ceuta	Hombres	2004	38.113
18 Ceuta	Hombres	2003	38.395
18 Ceuta	Hombres	2002	39.195
18 Ceuta	Hombres	2001	38.884
18 Ceuta	Hombres	2000	38.497
18 Ceuta	Hombres	1999	37.115
18 Ceuta	Hombres	1998	36.102
18 Ceuta	Hombres	1997	""
18 Ceuta	Hombres	1996	34.229
18 Ceuta	Mujeres	2019	41.865
18 Ceuta	Mujeres	2018	41.967
18 Ceuta	Mujeres	2017	41.925
18 Ceuta	Mujeres	2016	41.673
18 Ceuta	Mujeres	2015	41.506
18 Ceuta	Mujeres	2014	41.609
18 Ceuta	Mujeres	2013	41.120
18 Ceuta	Mujeres	2012	41.070
18 Ceuta	Mujeres	2011	40.211
18 Ceuta	Mujeres	2010	39.310
18 Ceuta	Mujeres	2009	38.556
18 Ceuta	Mujeres	2008	38.004
18 Ceuta	Mujeres	2007	37.690
18 Ceuta	Mujeres	2006	37.280
18 Ceuta	Mujeres	2005	36.961
18 Ceuta	Mujeres	2004	36.541
18 Ceuta	Mujeres	2003	36.536
18 Ceuta	Mujeres	2002	36.957
18 Ceuta	Mujeres	2001	36.810
18 Ceuta	Mujeres	2000	36.744
18 Ceuta	Mujeres	1999	36.589
18 Ceuta	Mujeres	1998	36.015
18 Ceuta	Mujeres	1997	""
18 Ceuta	Mujeres	1996	34.567
19 Melilla	Total	2019	86.487
19 Melilla	Total	2018	86.384
19 Melilla	Total	2017	86.120
19 Melilla	Total	2016	86.026
19 Melilla	Total	2015	85.584
19 Melilla	Total	2014	84.509
19 Melilla	Total	2013	83.679
19 Melilla	Total	2012	80.802
19 Melilla	Total	2011	78.476
19 Melilla	Total	2010	76.034
19 Melilla	Total	2009	73.460
19 Melilla	Total	2008	71.448
19 Melilla	Total	2007	69.440
19 Melilla	Total	2006	66.871
19 Melilla	Total	2005	65.488
19 Melilla	Total	2004	68.016
19 Melilla	Total	2003	68.463
19 Melilla	Total	2002	69.184
19 Melilla	Total	2001	68.789
19 Melilla	Total	2000	66.263
19 Melilla	Total	1999	56.929
19 Melilla	Total	1998	60.108
19 Melilla	Total	1997	""
19 Melilla	Total	1996	59.576
19 Melilla	Hombres	2019	43.894
19 Melilla	Hombres	2018	43.765
19 Melilla	Hombres	2017	43.629
19 Melilla	Hombres	2016	43.768
19 Melilla	Hombres	2015	43.593
19 Melilla	Hombres	2014	43.075
19 Melilla	Hombres	2013	43.017
19 Melilla	Hombres	2012	41.569
19 Melilla	Hombres	2011	40.256
19 Melilla	Hombres	2010	38.819
19 Melilla	Hombres	2009	37.244
19 Melilla	Hombres	2008	36.336
19 Melilla	Hombres	2007	35.208
19 Melilla	Hombres	2006	33.962
19 Melilla	Hombres	2005	33.322
19 Melilla	Hombres	2004	34.455
19 Melilla	Hombres	2003	34.737
19 Melilla	Hombres	2002	35.178
19 Melilla	Hombres	2001	35.027
19 Melilla	Hombres	2000	33.976
19 Melilla	Hombres	1999	28.952
19 Melilla	Hombres	1998	30.569
19 Melilla	Hombres	1997	""
19 Melilla	Hombres	1996	29.647
19 Melilla	Mujeres	2019	42.593
19 Melilla	Mujeres	2018	42.619
19 Melilla	Mujeres	2017	42.491
19 Melilla	Mujeres	2016	42.258
19 Melilla	Mujeres	2015	41.991
19 Melilla	Mujeres	2014	41.434
19 Melilla	Mujeres	2013	40.662
19 Melilla	Mujeres	2012	39.233
19 Melilla	Mujeres	2011	38.220
19 Melilla	Mujeres	2010	37.215
19 Melilla	Mujeres	2009	36.216
19 Melilla	Mujeres	2008	35.112
19 Melilla	Mujeres	2007	34.232
19 Melilla	Mujeres	2006	32.909
19 Melilla	Mujeres	2005	32.166
19 Melilla	Mujeres	2004	33.561
19 Melilla	Mujeres	2003	33.726
19 Melilla	Mujeres	2002	34.006
19 Melilla	Mujeres	2001	33.762
19 Melilla	Mujeres	2000	32.287
19 Melilla	Mujeres	1999	27.977
19 Melilla	Mujeres	1998	29.539
19 Melilla	Mujeres	1997	""
19 Melilla	Mujeres	1996	29.929
